#{"t_start": 1763588585.6588113, "env_id": "None"}
r,l,t
-953.6,108,14.131014
-983.7,35,14.136064
-941.6,142,14.159394
-982.1,41,14.176802
-976.3,60,14.192528
-949.6,123,14.201033
-985.1,38,14.222643
-974.4,63,14.234615
-990.8,29,14.240784
-966.0,89,14.254929
-981.6,47,14.254977
-965.0,79,14.256641
-961.6,89,14.264479
-988.6,29,14.281
-978.0,55,14.290151
-993.1,19,14.295127
-988.5,28,14.299879
-980.7,49,14.301571
-995.0,16,14.315191
-980.2,44,14.326798
-988.3,26,14.345388
-942.8,132,14.353633
-941.89996,145,14.364331
-982.1,41,14.366206
-978.7,51,14.368021
-985.5,31,14.371456
-987.4,28,14.376418
-954.89996,99,14.405117
-990.1,22,14.406732
-973.4,64,14.409928
-955.0,100,14.422696
-986.0,36,14.422738
-986.0,36,14.424476
-984.5,43,14.424515
-995.0,16,14.43224
-992.3,22,14.439993
-979.6,49,14.446517
-973.9,58,14.470399
-993.0,18,14.477437
-980.10004,54,14.514152
-971.10004,63,14.514213
-955.1,112,14.530439
-974.10004,60,14.539721
-994.2,19,14.544644
-974.0,70,14.548555
-989.5,27,14.559104
-964.9,89,14.572364
-976.0,57,14.572427
-958.6,92,14.576273
-947.19995,121,14.62392
-978.6,50,14.632534
-976.4,61,14.642904
-974.4,63,14.651109
-953.1,114,14.661602
-979.2,56,14.670067
-976.10004,58,14.670128
-976.60004,63,14.678929
-964.2,82,14.697562
-957.39996,102,14.70343
-985.1,38,14.708643
-990.4,25,14.721753
-981.9,50,14.735718
-970.2,65,14.742115
-991.2,22,14.74384
-970.0,74,14.748761
-987.7,31,14.753583
-974.4,63,14.775224
-992.2,21,14.776757
-967.0,77,14.79725
-987.7,31,14.798951
-983.0,39,14.79899
-976.9,55,14.811331
-990.3,24,14.816422
-982.9,49,14.824677
-994.1,18,14.828005
-963.3,84,14.836158
-983.3,42,14.869476
-981.6,47,14.877811
-982.0,40,14.877859
-939.19995,140,14.894025
-959.8,93,14.907746
-962.6,88,14.920997
-979.3,57,14.931084
-982.2,42,14.939273
-971.4,77,14.944486
-991.3,23,14.946378
-991.2,22,14.957869
-996.5,9,14.95943
-990.3,24,14.978889
-978.3,58,14.990997
-993.4,22,14.995741
-984.2,40,14.997514
-984.7,34,15.002396
-964.8,77,15.006161
-995.9,14,15.019609
-949.1,118,15.025421
-981.2,43,15.031003
-994.2,19,15.039194
-986.8,33,15.053797
-939.99994,137,15.053852
-992.3,22,15.06193
-986.6,42,15.061976
-978.7,51,15.065206
-988.3,26,15.073212
-990.2,23,15.076447
-994.0,17,22.070153
-971.10004,63,22.113303
-972.10004,73,22.113361
-985.6,43,22.113382
-985.1,38,22.116873
-935.49994,158,22.129826
-984.3,41,22.132933
-986.0,36,22.172234
-972.10004,62,22.172296
-971.7,69,22.175399
-982.8,48,22.193608
-995.9,14,22.201279
-982.7,47,22.210458
-955.7,107,22.231456
-973.9,58,22.233651
-973.8,68,22.233703
-991.3,23,22.235609
-970.9,72,22.237636
-945.69995,128,22.269812
-986.9,34,22.298942
-978.4,59,22.308291
-973.4,64,22.349678
-958.89996,106,22.36329
-979.0,54,22.366784
-967.5,82,22.381188
-949.89996,126,22.395748
-991.2,22,22.402494
-946.8,128,22.433529
-984.3,52,22.435361
-974.10004,60,22.462075
-944.69995,140,22.473227
-954.39996,105,22.477417
-985.6,32,22.487427
-934.19995,156,22.502701
-974.0,70,22.51487
-989.4,37,22.527459
-966.8,86,22.554702
-955.5,105,22.565969
-980.0,53,22.574044
-986.4,29,22.585594
-978.9,53,22.590008
-930.69995,165,22.600481
-990.3,24,22.611781
-979.8,51,22.61372
-959.9,94,22.650668
-982.4,44,22.663099
-937.6,146,22.695934
-970.5,79,22.743968
-975.6,53,22.748575
-964.3,94,22.756689
-957.39996,102,22.759882
-962.5,98,22.773677
-992.0,19,22.775467
-940.8,134,22.78337
-927.69995,168,22.796118
-961.1,95,22.807549
-987.8,32,22.811111
-971.0,73,22.81723
-982.4,44,22.823238
-995.0,16,22.82507
-937.39996,155,22.835861
-976.8,54,22.850656
-993.1,19,22.853804
-977.7,52,22.861847
-991.4,24,22.874254
-971.5,67,22.918995
-964.4,84,22.920923
-976.7,64,22.927728
-965.4,83,22.942303
-954.39996,105,22.946168
-962.0,93,22.96623
-975.4,62,22.974251
-964.8,77,22.97729
-984.4,42,22.988283
-984.9,47,23.041373
-969.60004,70,23.057422
-948.3,132,23.062225
-959.4,89,23.071053
-954.6,107,23.09184
-939.5999,155,23.111462
-988.5,28,23.117217
-971.5,89,23.119424
-975.8,55,23.135979
-949.6,123,23.147524
-975.0,58,23.160446
-957.0,109,23.162416
-956.5,104,23.167867
-986.6,42,23.174316
-990.1,22,23.221181
-983.0,39,23.228087
-964.5,85,23.238868
-977.3,59,23.337849
-985.1,38,23.345505
-979.3,57,23.364951
-969.10004,76,23.375417
-994.0,17,23.377625
-976.10004,58,23.390956
-990.3,24,23.39439
-985.6,43,23.40088
-967.60004,72,23.406185
-992.2,21,23.410852
-956.0,110,23.427072
-984.8,35,23.427117
-988.7,30,23.45978
-978.4,59,23.475029
-977.0,56,23.486832
-988.4,38,23.494536
-956.8,107,23.507863
-971.60004,68,23.514007
-954.8,109,23.525876
-990.4,25,23.542269
-974.7,66,23.548557
-976.0,57,23.57031
-978.5,49,23.582453
-985.3,40,23.586538
-960.0,106,23.60051
-993.9,16,23.613947
-989.6,28,23.629823
-944.19995,135,23.643015
-958.6,92,23.646115
-975.4,62,23.676796
-984.9,36,23.689606
-989.5,27,23.691246
-978.3,58,23.696608
-960.6,90,23.705456
-956.5,104,23.708509
-993.1,19,23.728588
-967.8,74,23.737015
-985.3,40,23.771791
-967.0,88,23.793394
-975.5,63,23.800898
-973.4,64,23.805619
-994.1,18,23.810849
-978.5,60,23.824634
-927.39996,165,23.849865
-976.3,60,23.853831
-987.0,35,23.875967
-986.6,31,23.877768
-987.3,38,23.886069
-912.3999,213,23.90805
-976.4,61,23.931002
-976.10004,58,23.932782
-988.5,28,23.953023
-943.69995,152,23.956339
-978.9,53,23.964065
-968.2,78,23.979256
-994.1,18,23.983939
-983.8,36,23.987394
-965.5,84,23.992252
-940.49994,142,23.996925
-991.2,22,24.01429
-958.2,99,24.035098
-987.7,31,24.046007
-958.39996,101,24.047738
-975.5,63,24.063682
-979.4,47,24.067389
-963.0,92,24.080186
-977.2,58,24.08224
-985.8,34,24.108206
-957.8,95,24.110054
-960.8,92,24.137577
-980.3,45,24.157397
-988.6,29,24.157441
-979.3,57,24.165913
-969.2,77,24.177153
-995.0,16,24.184299
-950.5,121,24.22204
-953.69995,109,24.224272
-982.4,44,24.248097
-979.4,47,24.27184
-986.5,30,24.277675
-961.2,96,24.277745
-967.3,80,24.303522
-946.8,128,24.311459
-942.69995,142,24.318542
-987.7,31,24.330261
-982.7,47,24.334178
-973.10004,61,24.338148
-983.8,36,24.346296
-990.2,23,24.375927
-990.1,22,24.378139
-951.89996,113,24.393379
-936.69995,148,24.415078
-979.10004,55,24.428123
-979.4,47,24.439378
-987.3,38,24.452014
-981.0,41,24.455469
-979.7,61,24.457233
-957.4,102,24.473427
-963.89996,101,24.499277
-991.3,23,24.499343
-986.8,33,24.501401
-984.6,44,24.510532
-959.8,104,24.512895
-986.3,39,24.526692
-987.1,36,24.543435
-987.6,30,24.558094
-965.5,84,24.574526
-954.39996,105,24.596822
-981.4,45,24.602728
-976.9,55,24.613988
-992.0,19,24.622226
-972.0,83,24.632829
-980.6,48,24.635967
-970.4,67,24.668226
-994.2,19,24.673801
-976.5,62,24.69289
-973.8,57,24.700711
-977.6,51,24.728518
-954.5,117,24.775714
-970.5,68,24.811003
-965.8,76,24.817944
-960.0,95,24.858635
-975.2,60,24.862842
-958.6,92,24.876829
-960.1,96,24.915215
-975.0,58,24.919441
-985.9,35,24.931702
-972.2,74,24.979897
-985.1,38,24.991528
-984.1,39,24.997478
-941.8,144,25.006295
-935.1,143,25.029409
-961.8,91,25.051095
-953.89996,111,25.053357
-988.7,30,25.055956
-994.8,14,25.058038
-958.19995,99,25.08048
-991.1,21,25.100139
-996.9,13,25.10822
-985.6,32,25.117251
-980.4,59,25.120626
-974.3,62,25.134062
-983.2,41,25.136109
-981.8,49,25.154362
-991.1,21,25.160248
-913.9999,207,25.185416
