#{"t_start": 1763608715.374144, "env_id": "None"}
r,l,t
-981.5,57,24.599268
-984.0,38,24.605179
-985.7,33,24.620003
-991.3,23,24.621765
-992.2,21,24.636526
-988.4,27,24.670178
-977.7,52,24.686336
-985.0,37,24.701283
-970.8,71,24.709439
-956.1,111,24.712774
-964.6,86,24.724346
-971.60004,68,24.737439
-908.3999,217,24.744531
-993.0,18,24.776036
-928.69995,167,24.849728
-950.6,111,24.859432
-937.2999,154,24.870766
-966.4,93,24.885174
-955.8,108,24.887207
-969.7,71,24.90011
-989.5,27,24.910262
-982.9,38,24.921189
-945.8,129,24.938268
-944.8,130,24.964041
-973.9,58,24.987987
-978.5,60,25.01277
-967.8,74,25.016335
-977.3,59,25.03913
-908.0999,214,25.056598
-966.3,81,25.060069
-957.0,109,25.061766
-985.6,43,25.085738
-989.4,26,25.133447
-974.5,64,25.151093
-949.19995,119,25.172583
-976.0,68,25.176084
-982.1,41,25.205606
-882.29987,286,25.207553
-956.3,113,25.214383
-987.7,31,25.225906
-937.2999,143,25.235945
-952.89996,112,25.254813
-979.6,49,25.289458
-973.0,60,25.310986
-940.6,143,25.311054
-963.9,90,25.399267
-878.7998,295,25.421403
-958.3,100,25.436771
-943.99994,133,25.452106
-969.8,83,25.461802
-983.0,39,25.466603
-986.6,31,25.473954
-960.0,106,25.480866
-957.0,98,25.488457
-908.8999,222,25.540205
-965.7,86,25.579611
-982.0,40,32.359962
-951.69995,111,32.406824
-944.19995,135,32.457106
-866.1999,323,32.490525
-933.7999,163,32.492347
-928.39996,164,32.513382
-866.2999,324,32.543444
-916.9999,204,32.554129
-962.4,86,32.606181
-942.39996,128,32.629634
-938.69995,157,32.63312
-993.0,18,32.636824
-968.5,81,32.652296
-949.99994,127,32.709601
-951.39996,119,32.755461
-924.69995,171,32.782325
-881.4998,289,32.831037
-850.2001,361,32.858103
-929.5999,165,32.916252
-907.9999,213,33.00382
-908.1999,215,33.025048
-935.19995,155,33.054952
-989.7,29,33.075414
-856.3,345,33.137269
-980.2,55,33.147268
-944.6,139,33.156559
-974.3,62,33.259384
-867.4999,314,33.296214
-852.4,350,33.311811
-920.7999,187,33.32219
-985.2,39,33.387653
-966.7,85,33.444819
-925.3999,178,33.455179
-796.40045,494,33.485253
-852.30005,360,33.485319
-993.1,19,33.525774
-982.7,47,33.579784
-817.20026,427,33.587548
-934.39996,158,33.606071
-865.3999,337,33.676749
-944.69995,129,33.699664
-988.4,27,33.723309
-938.89996,148,33.793861
-973.8,68,33.844326
-858.39996,333,33.863447
-825.00024,417,33.882198
-939.19995,140,33.944704
-863.2999,338,34.002749
-981.7,48,34.087793
-864.49994,317,34.137236
